CSA,CSB,AUT,CSI,MFL,MDS,SDM,RAY,EPS,COM,EED,ANG,STA
14.40,13.29,14.57,15.30,10.31,15.62,13.31,11.22,13.00,18.00,15.50,10.31,
15.40,11.43,12.29,16.30,11.27,13.69,15.38,10.00,12.00,15.50,13.00,14.12,
14.00,12.71,12.86,15.10,13.12,11.73,13.27,11.44,16.50,17.50,13.00,11.90,15.50
10.60,9.86,12.57,16.80,10.42,13.58,15.19,15.05,14.50,15.50,14.00,15.49,15.50
14.00,11.43,11.50,15.10,13.19,10.69,12.04,10.56,15.00,16.50,14.50,17.30,15.50
9.40,12.89,14.14,16.80,11.00,11.73,17.12,11.56,14.50,16.50,11.00,11.62,17.00
8.80,12.43,12.93,15.50,12.00,10.19,16.12,10.44,17.00,15.00,15.50,15.90,16.58
10.80,14.21,12.00,15.30,10.54,13.23,14.12,13.72,18.00,16.00,12.00,14.50,
9.60,14.43,14.00,12.90,14.35,12.88,14.69,10.67,13.00,16.00,15.00,13.75,16.50
13.60,11.57,11.79,12.00,16.46,14.81,12.54,8.61,19.00,16.00,11.00,14.50,15.00
10.00,9.93,13.21,13.80,12.27,13.15,17.04,9.22,16.50,16.50,17.00,14.53,16.40
12.20,13.07,13.64,15.50,14.85,11.15,11.73,11.72,13.00,14.00,12.50,15.70,15.50
8.00,15.64,14.07,15.30,12.96,12.31,13.65,14.39,13.50,16.00,11.50,14.06,16.20
12.20,13.43,14.29,12.00,10.62,15.92,13.19,10.06,13.00,16.00,14.00,12.62,18.21
13.20,10.86,13.71,16.80,13.35,11.42,11.81,9.56,14.00,17.50,9.00,14.87,16.50
11.00,14.04,12.64,12.00,10.62,13.92,12.42,10.78,16.00,16.00,13.00,18.20,16.50
12.80,13.39,14.21,12.00,13.46,11.54,15.62,6.44,15.00,15.00,11.00,14.60,17.36
11.80,13.93,13.79,16.90,15.54,10.81,11.15,11.89,12.50,15.00,15.50,13.37,14.63
10.20,14.29,12.36,15.30,12.08,12.88,13.31,13.50,14.00,18.00,12.50,13.06,15.50
13.00,12.14,12.86,16.30,12.69,12.58,12.85,8.22,13.00,16.00,13.00,12.00,15.75
13.60,12.00,13.71,13.80,12.42,12.85,14.12,11.72,15.00,16.50,14.50,8.25,17.50
10.80,12.68,15.00,13.40,11.77,12.15,15.88,10.50,14.50,16.50,13.00,13.37,13.93
12.20,14.25,13.14,13.40,12.54,12.46,12.58,14.94,17.00,16.00,13.00,12.75,15.00
13.00,15.93,10.79,15.60,11.85,9.54,11.38,17.83,18.00,15.00,12.50,14.25,14.50
10.40,12.68,11.29,14.20,12.85,11.12,13.31,6.56,16.00,16.50,14.50,18.00,16.75
